question_id,question_type,evidence_phrases,gold_node_count,gold_page_count,gold_node_ids,gold_pages,mapping_notes
FIN038,股权激励表格,NVIDIA Stock Compensation Note | Apple Share-Based Compensation | Microsoft Stock Awards 表,6,8,T_FIN_01_NVIDIA_10K_63_2;TB_FIN_01_NVIDIA_10K_64_1;T_FIN_03_Apple_10K_37_3;TB_FIN_03_Apple_10K_48_1;TB_FIN_02_Microsoft_Annual_Report_66_3;TB_FIN_02_Microsoft_Annual_Report_67_1,63;64;37;47;48;44;66;67,"NVIDIA Stock Compensation Note -> FIN_01_NVIDIA_10K:p63,64:T_FIN_01_NVIDIA_10K_63_2,TB_FIN_01_NVIDIA_10K_64_1 || Apple Share-Based Compensation -> FIN_03_Apple_10K:p37,47,48:T_FIN_03_Apple_10K_37_3,TB_FIN_03_Apple_10K_48_1 || Microsoft Stock Awards 表 -> FIN_02_Microsoft_Annual_Report:p44,66,67:TB_FIN_02_Microsoft_Annual_Report_66_3,TB_FIN_02_Microsoft_Annual_Report_67_1"
FIN039,长期债务表,Apple Debt Note | Microsoft Long-term Debt 表,4,3,TB_FIN_03_Apple_10K_46_2;TB_FIN_03_Apple_10K_28_2;TB_FIN_02_Microsoft_Annual_Report_58_2;T_FIN_02_Microsoft_Annual_Report_58_1,28;46;58,"Apple Debt Note -> FIN_03_Apple_10K:p28,46:TB_FIN_03_Apple_10K_46_2,TB_FIN_03_Apple_10K_28_2 || Microsoft Long-term Debt 表 -> FIN_02_Microsoft_Annual_Report:p58:TB_FIN_02_Microsoft_Annual_Report_58_2,T_FIN_02_Microsoft_Annual_Report_58_1"
FIN040,存货附注表,NVIDIA Inventory Note | Apple Inventory Table,4,7,TB_FIN_01_NVIDIA_10K_69_1;T_FIN_01_NVIDIA_10K_40_2;TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2,40;52;61;69;12;34;36,"NVIDIA Inventory Note -> FIN_01_NVIDIA_10K:p40,52,61,69:TB_FIN_01_NVIDIA_10K_69_1,T_FIN_01_NVIDIA_10K_40_2 || Apple Inventory Table -> FIN_03_Apple_10K:p12,34,36:TB_FIN_03_Apple_10K_36_1,TB_FIN_03_Apple_10K_36_2"
FIN041,客户集中度表,NVIDIA Customer Concentration | Microsoft Revenue Concentration Note,4,10,T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_22_1;TB_FIN_02_Microsoft_Annual_Report_71_1,5;43;54;80;10;22;23;24;25;71,"NVIDIA Customer Concentration -> FIN_01_NVIDIA_10K:p5,43,54,80:T_FIN_01_NVIDIA_10K_43_1,T_FIN_01_NVIDIA_10K_80_3 || Microsoft Revenue Concentration Note -> FIN_02_Microsoft_Annual_Report:p10,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_1,TB_FIN_02_Microsoft_Annual_Report_71_1"
FIN042,现金与投资表,Apple Cash & Marketable Securities | Microsoft Cash Equivalents | NVIDIA Cash Table,6,7,T_FIN_03_Apple_10K_34_1;TB_FIN_03_Apple_10K_40_1;T_FIN_02_Microsoft_Annual_Report_38_2;T_FIN_02_Microsoft_Annual_Report_37_2;T_FIN_01_NVIDIA_10K_57_1;T_FIN_01_NVIDIA_10K_55_1,34;39;40;37;38;55;57,"Apple Cash & Marketable Securities -> FIN_03_Apple_10K:p34,39,40:T_FIN_03_Apple_10K_34_1,TB_FIN_03_Apple_10K_40_1 || Microsoft Cash Equivalents -> FIN_02_Microsoft_Annual_Report:p37,38:T_FIN_02_Microsoft_Annual_Report_38_2,T_FIN_02_Microsoft_Annual_Report_37_2 || NVIDIA Cash Table -> FIN_01_NVIDIA_10K:p55,57:T_FIN_01_NVIDIA_10K_57_1,T_FIN_01_NVIDIA_10K_55_1"
FIN043,所得税附注表,Apple Income Taxes Note | Microsoft Income Tax Table,4,6,TB_FIN_03_Apple_10K_28_1;TB_FIN_03_Apple_10K_43_2;TB_FIN_02_Microsoft_Annual_Report_59_2;TB_FIN_02_Microsoft_Annual_Report_61_1,28;43;44;59;60;61,"Apple Income Taxes Note -> FIN_03_Apple_10K:p28,43,44:TB_FIN_03_Apple_10K_28_1,TB_FIN_03_Apple_10K_43_2 || Microsoft Income Tax Table -> FIN_02_Microsoft_Annual_Report:p59,60,61:TB_FIN_02_Microsoft_Annual_Report_59_2,TB_FIN_02_Microsoft_Annual_Report_61_1"
FIN044,现金流附注 + CAPEX 表,NVIDIA Property & Equipment | Microsoft Capital Expenditure 表,4,7,T_FIN_01_NVIDIA_10K_69_4;TB_FIN_01_NVIDIA_10K_57_3;TB_FIN_02_Microsoft_Annual_Report_62_1;T_FIN_02_Microsoft_Annual_Report_30_5,46;57;69;72;30;54;62,"NVIDIA Property & Equipment -> FIN_01_NVIDIA_10K:p46,57,69,72:T_FIN_01_NVIDIA_10K_69_4,TB_FIN_01_NVIDIA_10K_57_3 || Microsoft Capital Expenditure 表 -> FIN_02_Microsoft_Annual_Report:p30,54,62:TB_FIN_02_Microsoft_Annual_Report_62_1,T_FIN_02_Microsoft_Annual_Report_30_5"
FIN045,现金流量表,Apple Cash Flow Statement | Microsoft Cash Flow Table,4,2,TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2;TB_FIN_02_Microsoft_Annual_Report_38_1;TB_FIN_02_Microsoft_Annual_Report_38_2,36;38,"Apple Cash Flow Statement -> FIN_03_Apple_10K:p36:TB_FIN_03_Apple_10K_36_1,TB_FIN_03_Apple_10K_36_2 || Microsoft Cash Flow Table -> FIN_02_Microsoft_Annual_Report:p38:TB_FIN_02_Microsoft_Annual_Report_38_1,TB_FIN_02_Microsoft_Annual_Report_38_2"
FIN046,研发费用表,NVIDIA R&D Table | Microsoft R&D Expense | Apple Research & Development 表,6,10,TB_FIN_01_NVIDIA_10K_63_1;C_FIN_01_NVIDIA_10K_63_1;T_FIN_02_Microsoft_Annual_Report_26_3;T_FIN_02_Microsoft_Annual_Report_26_1;TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_25_1,43;46;53;63;26;4;5;25;38;50,"NVIDIA R&D Table -> FIN_01_NVIDIA_10K:p43,46,53,63:TB_FIN_01_NVIDIA_10K_63_1,C_FIN_01_NVIDIA_10K_63_1 || Microsoft R&D Expense -> FIN_02_Microsoft_Annual_Report:p26,43:T_FIN_02_Microsoft_Annual_Report_26_3,T_FIN_02_Microsoft_Annual_Report_26_1 || Apple Research & Development 表 -> FIN_03_Apple_10K:p4,5,25,26,38,50:TB_FIN_03_Apple_10K_50_2,TB_FIN_03_Apple_10K_25_1"
FIN047,风险附注表,Apple Supplier Risk | NVIDIA Supply Chain Risk,4,11,T_FIN_03_Apple_10K_4_1;T_FIN_03_Apple_10K_38_1;T_FIN_01_NVIDIA_10K_16_2;T_FIN_01_NVIDIA_10K_28_1,4;5;25;26;38;50;16;20;23;28;36,"Apple Supplier Risk -> FIN_03_Apple_10K:p4,5,25,26,38,50:T_FIN_03_Apple_10K_4_1,T_FIN_03_Apple_10K_38_1 || NVIDIA Supply Chain Risk -> FIN_01_NVIDIA_10K:p16,20,23,28,36,38:T_FIN_01_NVIDIA_10K_16_2,T_FIN_01_NVIDIA_10K_28_1"
FIN048,商誉附注表,Microsoft Goodwill Table | Apple Intangible Assets Note,4,3,TB_FIN_02_Microsoft_Annual_Report_56_1;T_FIN_02_Microsoft_Annual_Report_56_1;T_FIN_03_Apple_10K_34_1;T_FIN_03_Apple_10K_15_7,56;15;34,"Microsoft Goodwill Table -> FIN_02_Microsoft_Annual_Report:p56:TB_FIN_02_Microsoft_Annual_Report_56_1,T_FIN_02_Microsoft_Annual_Report_56_1 || Apple Intangible Assets Note -> FIN_03_Apple_10K:p15,34:T_FIN_03_Apple_10K_34_1,T_FIN_03_Apple_10K_15_7"
FIN049,收入分部表,Tesla Revenue by Segment 表 | NVIDIA Segment Revenue 表,4,8,TB_FIN_04_Tesla_10K_59_1;TB_FIN_04_Tesla_10K_66_1;TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1,44;46;59;66;110;79;80;81,"Tesla Revenue by Segment 表 -> FIN_04_Tesla_10K:p44,46,59,66,110:TB_FIN_04_Tesla_10K_59_1,TB_FIN_04_Tesla_10K_66_1 || NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1"
FIN050,业务收入表 + 基础设施数据,Tesla Energy Generation and Storage 表 | Microsoft Datacenter/Cloud 表,4,10,TB_FIN_04_Tesla_10K_66_1;T_FIN_04_Tesla_10K_7_2;TB_FIN_02_Microsoft_Annual_Report_62_1;T_FIN_02_Microsoft_Annual_Report_2_3,6;7;44;47;66;70;110;2;16;62,"Tesla Energy Generation and Storage 表 -> FIN_04_Tesla_10K:p6,7,44,47,66,70,110:TB_FIN_04_Tesla_10K_66_1,T_FIN_04_Tesla_10K_7_2 || Microsoft Datacenter/Cloud 表 -> FIN_02_Microsoft_Annual_Report:p2,16,62:TB_FIN_02_Microsoft_Annual_Report_62_1,T_FIN_02_Microsoft_Annual_Report_2_3"
FIN051,存货附注表,Tesla Inventory Note | Apple Inventory Table,4,7,T_FIN_04_Tesla_10K_58_1;T_FIN_04_Tesla_10K_84_1;TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2,42;58;75;84;12;34;36,"Tesla Inventory Note -> FIN_04_Tesla_10K:p42,58,75,84:T_FIN_04_Tesla_10K_58_1,T_FIN_04_Tesla_10K_84_1 || Apple Inventory Table -> FIN_03_Apple_10K:p12,34,36:TB_FIN_03_Apple_10K_36_1,TB_FIN_03_Apple_10K_36_2"
FIN052,资本支出表,Tesla Property and Equipment 表 | NVIDIA Capital Expenditure Note,4,9,TB_FIN_04_Tesla_10K_64_1;TB_FIN_04_Tesla_10K_51_1;T_FIN_01_NVIDIA_10K_46_3;TB_FIN_01_NVIDIA_10K_69_1,40;51;64;76;84;46;57;69;72,"Tesla Property and Equipment 表 -> FIN_04_Tesla_10K:p40,51,64,76,84:TB_FIN_04_Tesla_10K_64_1,TB_FIN_04_Tesla_10K_51_1 || NVIDIA Capital Expenditure Note -> FIN_01_NVIDIA_10K:p46,57,69,72:T_FIN_01_NVIDIA_10K_46_3,TB_FIN_01_NVIDIA_10K_69_1"
FIN053,递延收入表,Tesla Deferred Revenue Note | Microsoft Unearned Revenue 表,4,8,T_FIN_04_Tesla_10K_64_1;T_FIN_04_Tesla_10K_58_3;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_22_5,58;64;67;69;22;29;37;42,"Tesla Deferred Revenue Note -> FIN_04_Tesla_10K:p58,64,67,69:T_FIN_04_Tesla_10K_64_1,T_FIN_04_Tesla_10K_58_3 || Microsoft Unearned Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,29,37,42:T_FIN_02_Microsoft_Annual_Report_22_4,T_FIN_02_Microsoft_Annual_Report_22_5"
FIN054,地区收入表,Tesla Geographic Revenue 表 | Apple Reportable Segment Revenue 表,4,3,TB_FIN_04_Tesla_10K_110_2;TB_FIN_04_Tesla_10K_110_1;TB_FIN_03_Apple_10K_50_1;TB_FIN_03_Apple_10K_25_1,110;25;50,"Tesla Geographic Revenue 表 -> FIN_04_Tesla_10K:p110:TB_FIN_04_Tesla_10K_110_2,TB_FIN_04_Tesla_10K_110_1 || Apple Reportable Segment Revenue 表 -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_1,TB_FIN_03_Apple_10K_25_1"
FIN055,研发费用表,Tesla R&D Expense 表 | NVIDIA R&D Table,4,8,TB_FIN_04_Tesla_10K_59_1;T_FIN_04_Tesla_10K_59_1;TB_FIN_01_NVIDIA_10K_63_1;C_FIN_01_NVIDIA_10K_63_1,47;59;70;97;43;46;53;63,"Tesla R&D Expense 表 -> FIN_04_Tesla_10K:p47,59,70,97:TB_FIN_04_Tesla_10K_59_1,T_FIN_04_Tesla_10K_59_1 || NVIDIA R&D Table -> FIN_01_NVIDIA_10K:p43,46,53,63:TB_FIN_01_NVIDIA_10K_63_1,C_FIN_01_NVIDIA_10K_63_1"
FIN056,固定资产表,"Tesla Property, Plant and Equipment 表 | Microsoft Property and Equipment 表",4,8,TB_FIN_04_Tesla_10K_64_1;T_FIN_04_Tesla_10K_76_4;TB_FIN_02_Microsoft_Annual_Report_62_1;T_FIN_02_Microsoft_Annual_Report_30_5,40;51;64;76;84;30;54;62,"Tesla Property, Plant and Equipment 表 -> FIN_04_Tesla_10K:p40,51,64,76,84:TB_FIN_04_Tesla_10K_64_1,T_FIN_04_Tesla_10K_76_4 || Microsoft Property and Equipment 表 -> FIN_02_Microsoft_Annual_Report:p30,54,62:TB_FIN_02_Microsoft_Annual_Report_62_1,T_FIN_02_Microsoft_Annual_Report_30_5"
FIN057,现金流量表,Tesla Cash Flow Statement | Apple Cash Flow Statement,4,3,TB_FIN_04_Tesla_10K_64_1;T_FIN_04_Tesla_10K_64_1;TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2,51;64;36,"Tesla Cash Flow Statement -> FIN_04_Tesla_10K:p51,64:TB_FIN_04_Tesla_10K_64_1,T_FIN_04_Tesla_10K_64_1 || Apple Cash Flow Statement -> FIN_03_Apple_10K:p36:TB_FIN_03_Apple_10K_36_1,TB_FIN_03_Apple_10K_36_2"
FIN058,分部收入表 + 业务表,Tesla Segment Table | NVIDIA Segment Revenue | Microsoft Cloud Revenue,6,13,TB_FIN_04_Tesla_10K_110_1;TB_FIN_04_Tesla_10K_110_2;T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_23_1,44;46;59;66;110;79;80;81;22;23;24;25;71,"Tesla Segment Table -> FIN_04_Tesla_10K:p44,46,59,66,110:TB_FIN_04_Tesla_10K_110_1,TB_FIN_04_Tesla_10K_110_2 || NVIDIA Segment Revenue -> FIN_01_NVIDIA_10K:p79,80,81:T_FIN_01_NVIDIA_10K_80_3,T_FIN_01_NVIDIA_10K_79_3 || Microsoft Cloud Revenue -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_23_1"
